,Con/Instl EF,O&M EF,Year
"30.02,-90.76,S",316.75,1.5924170616113744,2020
"30.02,-90.26,S",316.75,1.5924170616113744,2020
"30.02,-85.26,S",7.268,0.29960666164532596,2020
"30.02,-84.76,S",7.268,0.29960666164532596,2020
"30.02,-83.76,S",7.268,0.29960666164532596,2020
"30.02,-83.26,S",7.268,0.29960666164532596,2020
"30.02,-82.76,S",7.268,0.29960666164532596,2020
"30.02,-82.26,S",7.268,0.29960666164532596,2020
"30.02,-81.76,S",7.268,0.29960666164532596,2020
"30.52,-104.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-104.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-103.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-103.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-102.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-102.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-101.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-101.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-100.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-100.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-99.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-99.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-98.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-98.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-97.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-97.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-96.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-96.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-95.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-95.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-94.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-94.26,S",3.897777777777778,0.1809287676740602,2020
"30.52,-93.76,S",3.897777777777778,0.1809287676740602,2020
"30.52,-93.26,S",316.75,1.5924170616113744,2020
"30.52,-92.76,S",316.75,1.5924170616113744,2020
"30.52,-92.26,S",316.75,1.5924170616113744,2020
"30.52,-91.76,S",316.75,1.5924170616113744,2020
"30.52,-91.26,S",316.75,1.5924170616113744,2020
"30.52,-90.76,S",316.75,1.5924170616113744,2020
"30.52,-90.26,S",316.75,1.5924170616113744,2020
"30.52,-89.76,S",103.6,0.1314708299096138,2020
"30.52,-89.26,S",103.6,0.1314708299096138,2020
"30.52,-88.76,S",103.6,0.1314708299096138,2020
"30.52,-88.26,S",114.0,0.1392857142857143,2020
"30.52,-87.76,S",114.0,0.1392857142857143,2020
"30.52,-87.26,S",7.268,0.29960666164532596,2020
"30.52,-86.76,S",7.268,0.29960666164532596,2020
"30.52,-86.26,S",7.268,0.29960666164532596,2020
"30.52,-85.76,S",7.268,0.29960666164532596,2020
"30.52,-85.26,S",7.268,0.29960666164532596,2020
"30.52,-84.76,S",7.268,0.29960666164532596,2020
"30.52,-84.26,S",7.268,0.29960666164532596,2020
"30.52,-83.76,S",7.268,0.29960666164532596,2020
"30.52,-83.26,S",7.268,0.29960666164532596,2020
"30.52,-82.76,S",7.268,0.29960666164532596,2020
"30.52,-82.26,S",7.268,0.29960666164532596,2020
"30.52,-81.76,S",7.268,0.29960666164532596,2020
"31.02,-105.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-104.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-104.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-103.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-103.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-102.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-102.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-101.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-101.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-100.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-100.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-99.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-99.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-98.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-98.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-97.76,S",3.897777777777778,0.1809287676740602,2020
"31.02,-97.26,S",3.897777777777778,0.1809287676740602,2020
"31.02,-96.76,S",3.897777777777778,0.1809287676740602,2020
